Document,Topic
gado levantar tag madrugada salvar bolsonaro acham so po,0
invertida vera magalhaes pergunta visando atingir bolsonaro ma tentativa saiu culatra t,2
escroto bolsonaro ciro mostram verdadeira face atacava vera magalhaes argumento machista dorme,0
vera magalhaes atacada,0
tarcisio alega ofensas bolsonaro douglas garcia vera magalhaes contextos diferentes t v dxajwqfp,1
imprensa inteira solidarizou vera magalhaes episodio douglas garcia calar ataques s,0
celso mello declara apoio lula leia nota mao t pu crlmvpx t,1
voce acha vera magalhaes vergonha jornalismo nacional,10
candidato repudiar agressao mesmo classificou douglas garcia jornalista ve,3
vera magalhaes roubou peruca zacarias,0
bolsonaro manda rodrigo garcia pressionar tv cultura excluir vera magalhaes debate t u vb x t,1
voce acha vera magalhaes vergonha jornalismo nacional,10
ana paula henkel colocou vera magalhaes devido t mztbmdz,1
bolsonaro ja chega atacando vera magalhaes nenhum decoro nao responde nada segue ataques pessoais bizarro band pe,0
ana paula henkel colocou vera magalhaes devido t mztbmdz,1
eleitor lula jogou objeto bolsonaro presidente pilotando durante motociata voce nao v,13
vera magalhaes x douglas garcia questionamento deputado jornalista legitimo fato u,3
ana paula henkel colocou vera magalhaes devido t mztbmdz,1
direita discute inutilmente vera magalhaes pdt estao mandando enxurrada acoes tse,11
eleitor lula jogou objeto bolsonaro presidente pilotando durante motociata voce nao v,13
eleitor lula jogou objeto bolsonaro presidente pilotando durante motociata voce nao v,13
bolsonaro ataque direto jornalista vera magalhaes vivo durante debate absurdo postura presidente,0
questionei vera magalhaes contrato tv cultura perdeu linha chamou segurancas t,6
vera magalhaes roubou voz lula peruca zacarias,0
invertida vera magalhaes pergunta visando atingir bolsonaro ma tentativa saiu culatra t,2
malafaia condenado excluir post contra vera magalhaes monica bergamo folha t gxybdp y,1
ministerio publico sao paulo mp sp abriu procedimento criminal contra deputado estadual candidato deputado f,0
vera magalhaes contestou bolsonaro mentindo prejudicou vacinacao brasil ma ninguem d,0
rodrigues bolsonaro jantou vera magalhaes,0
questionei vera magalhaes contrato tv cultura perdeu linha chamou segurancas t,6
ciro acusa bolsonaro machismo ma riu demais resposta vera magalhaes t ccz pcvbh,1
rasgou vera magalhaes t gyognre go,8
rovai agressao bolsonaro vera magalhaes sobrar debate ja grande derrotado so g,0
prestar solidariedade vera magalhaes envolve visitar passado recente veja mais t aatgrqqpzq,16
garcia serum investigado stalking ameaca dano emocional contra vera t dgv hstzqx,1
vera magalhaes dispara ataque presidente pergunta ciro nao esquecendo errar gramatica,0
pergunta vacina ciro comentou bolsonaro atacou apresentadora vera magalhaes candidata simone,0
bolsonaro atacando jornalista vera magalhaes atacando jornalista mulher claro nao respondeu pergunta u,0
sentiu vera magalhaes assustada quantidade gente bolsonaro elegeu congresso nao consegue entende,0
rodrigues bolsonaro jantou vera magalhaes,0
vera magalhaes fechou comentarios copiando lula so fala pro convertidos ambiente controlado,0
questionei vera magalhaes contrato tv cultura perdeu linha chamou segurancas t,6
solidariedade jornalistas sao mal vistos causa maus profissionais vera magalhaes,15
globo apos debate bolsonaro cancela sabatina jovem pan reavalia entrevista compartilhado vera magalh,5
vera magalhaes parcial mereceu resposta bolsonaro t ziv neosjg,1
informacao quente manchete bastidores campanha day after debate gt gt apos debat,44
alvo piores baixarias seguidores ciro gomes nao vejo diferenca bolsonarismo,0
bolso nao perdeu oportunidade mostrar odio mulheres atacar jornalista vera magalhaes mai,0
ultimo video lula bebendo agua viralizou vera magalhaes felipe neto ja explicaram motivo agua lu,0
vera magalhaes bozo merecem t pihpqs s,1
leonardo sakamoto deputado bolsonarista agrediu vera magalhaes precisa perder mandato t kh hb riw,1
nao vi debate vi bolsonaro botar janjo colo palmadas arrancar gargalhadas ciro tebet tron,0
real verdade ataque bolsonaro vera magalhaes durante debate band mais verdadeiro,0
leonardo sakamoto deputado bolsonarista agrediu vera magalhaes precisa perder mandato t kh hb riw,1
invertida vera magalhaes pergunta visando atingir bolsonaro ma tentativa saiu culatra t,2
jornalista escrevendo comentando tv tom moderado adotado bolsonaro gente abusa,53
lacrastico drauzio varela abraca jose dumont verificamos fabio assuncao votar marcelo adne desabafa,0
agradecimento jornalistas globo folha estadao uol cnn especial vera magalhaes monica bergamo,27
redacao jornais folha uol globo jornal nacional vera magalhaes choro livre chorou,27
rasgou vera magalhaes t gyognre go,8
invertida vera magalhaes pergunta visando atingir bolsonaro ma tentativa saiu culatra t,2
bolsonaro ataque direto jornalista vera magalhaes vivo durante debate absurdo postura presidente,0
estadao vera magalhaes processar silas malafaia mentira salario jornalista t l iojigchy,0
ta explicado voz vera magalhaes tao caotica debate t dbx cd d d,1
vera magalhaes espalhando ai agredi mentira vou processar divulgar c,30
imprensa inteira solidarizou vera magalhaes episodio douglas garcia calar ataques s,0
vereador lulista psb preso investigado mandar matar marcello leite apoiador bolsonaro ve,20
ja solidarizei vera magalhaes durante debate volto bolsonaro exibiu mais sordido covard,0
vera magalhaes comenta ataque deputado bolsonarista absurdo inadmissivel democracia t dunrfhszgs,17
felipe neto vera magalhaes pacheco simone tebet tantos iluminados estao calados fala lula,0
voce acha vera magalhaes vergonha jornalismo nacional,10
rovai diria vera magalhaes pode colocado ponto final reeleicao bolsonaro lembrei haitiano acabou bol,0
ciro gomes solidariza vera magalhaes t gmdmdmrzpn,1
simone tebet alem anunciar apoio lula propostas incorporadas programa governo d,22
agressao contra vera magalhaes comprova mais brasileiras ja sentem pele gove,29
bolsonaro ja passado trator vera magalhaes amanda atropelou transatlantico,0
orgulho vera magalhaes t wgsfulczpj,1
band permite jornalista vera magalhaes pergunta acusando presidente difundir d,47
vera magalhaes comenta ataque deputado bolsonarista absurdo inadmissivel democracia t dunrfhszgs,17
vereador lulista psb preso investigado mandar matar marcello leite apoiador bolsonaro ve,20
vera magalhaes nao pergunta critica governo pediu ajuda ciro sequencia tarefa es,0
solidariedade jornalistas sao mal vistos causa maus profissionais vera magalhaes,15
direita discute inutilmente vera magalhaes pdt estao mandando enxurrada acoes tse,11
tv cultura governo paulista acaba divulgar nota informa deputado douglas garcia assedio,5
vera magalhaes parcial mereceu resposta bolsonaro t ziv neosjg,1
vera magalhaes,0
menos mulheres brasileiras rejeitam bolsonaro miliciano tratou jornalista vera magal,7
sim t i ki gqcs,4
lacrastico drauzio varela abraca jose dumont verificamos fabio assuncao votar marcelo adne desabafa,0
invertida vera magalhaes pergunta visando atingir bolsonaro ma tentativa saiu culatra t,2
pensar vera magalhaes mulher esposa lula morreu piada dizendo case alguem nao va,0
ataque bolsonaro vera magalhaes asqueroso mentiroso vera jornalistas mais competent,0
questionei vera magalhaes contrato tv cultura perdeu linha chamou segurancas t,6
erro grave debate negar direito resposta chamado ex presidiario po,9
ana paula henkel curta clara vera magalhaes retratar t uksoegoe v,1
rovai agressao bolsonaro vera magalhaes sobrar debate ja grande derrotado so g,0
alvo piores baixarias seguidores ciro gomes nao vejo diferenca bolsonarismo,0
vera magalhaes transformada vitima mentido provocado reacao presidente ma nunca esqueceremos q,0
bosta alem tomar mao celular deputado tenta quebrar xinga palavroes seguranca merda deputado precisa seguranca regimento assembleia nao monstrenga militante chamada vera magalhaes,0
solidariedade jornalistas sao mal vistos causa maus profissionais vera magalhaes,15
vera magalhaes carinho chega manipular fatos t ki gdnb,1
imprensa inteira solidarizou vera magalhaes episodio douglas garcia calar ataques s,0
vera magalhaes fechou comentarios copiando lula so fala pro convertidos ambiente controlado,0
